2023-05-10 09:04:10.828, Solar Energy: 540.0 kW
2023-05-10 09:04:10.828, Wind Energy: 127.0 kW
2023-05-10 09:04:10.828, Hydro Energy: 262.0 kW
2023-05-11 10:04:10.828, Solar Energy: 540.0 kW
2023-05-11 10:04:10.828, Wind Energy: 127.0 kW
2023-05-11 10:04:10.828, Hydro Energy: 262.0 kW
2023-05-11 10:04:10.828, Solar Energy: 540.0 kW
2023-05-11 10:04:10.828, Wind Energy: 127.0 kW
2023-05-11 10:04:10.828, Hydro Energy: 262.0 kW
2023-05-12 10:04:10.828, Solar Energy: 550.0 kW
2023-05-12 10:04:10.828, Wind Energy: 125.0 kW
2023-05-12 10:04:10.828, Hydro Energy: 272.0 kW
2023-05-13 10:04:10.828, Solar Energy: 240.0 kW
2023-05-13 10:04:10.828, Wind Energy: 125.0 kW
2023-05-13 10:04:10.828, Hydro Energy: 222.0 kW
2023-05-14 10:04:10.828, Solar Energy: 560.0 kW
2023-05-14 10:04:10.828, Wind Energy: 127.0 kW
2023-05-14 10:04:10.828, Hydro Energy: 232.0 kW
